266,(94-67)*15+15,133,(46-34)*15+15,133,(57-34)*15+15,266,(70-67)*15+15,133,(42-34)*15+15,133,(36-34)*15+15,0,27*15+15,0,30*15+15,266,(97-67)*15+15,133,(52-34)*15+15,133,(53-34)*15+15,0,19*15+15,133,(66-34)*15+15,266,(82-67)*15+15,0,31*15+15,266,(76-67)*15+15,133,(61-34)*15+15,266,(86-67)*15+15,0,1*15+15,0,25*15+15,0,20*15+15,133,(54-34)*15+15,133,(40-34)*15+15,133,(56-34)*15+15,133,(44-34)*15+15,133,(39-34)*15+15,266,(92-67)*15+15,266,(69-67)*15+15,0,11*15+15,133,(38-34)*15+15,266,(87-67)*15+15,133,(62-34)*15+15,0,22*15+15,0,12*15+15,0,33*15+15,133,(43-34)*15+15,266,(88-67)*15+15,266,(75-67)*15+15,266,(96-67)*15+15,133,(63-34)*15+15,266,(85-67)*15+15,266,(79-67)*15+15,0,0*15+15,266,(74-67)*15+15,266,(95-67)*15+15,0,6*15+15,266,(99-67)*15+15,0,3*15+15,133,(41-34)*15+15,0,18*15+15,133,(49-34)*15+15,133,(45-34)*15+15,266,(93-67)*15+15,266,(78-67)*15+15,266,(80-67)*15+15,266,(81-67)*15+15,0,2*15+15,266,(72-67)*15+15,266,(90-67)*15+15,133,(51-34)*15+15,133,(65-34)*15+15,0,10*15+15,133,(37-34)*15+15,266,(98-67)*15+15,0,13*15+15,0,32*15+15,0,4*15+15,0,29*15+15,133,(60-34)*15+15,0,26*15+15,266,(83-67)*15+15,0,28*15+15,133,(34-34)*15+15,133,(64-34)*15+15,266,(91-67)*15+15,0,17*15+15,0,23*15+15,133,(55-34)*15+15,266,(84-67)*15+15,266,(77-67)*15+15,0,15*15+15,266,(68-67)*15+15,133,(48-34)*15+15,133,(50-34)*15+15,0,7*15+15,133,(58-34)*15+15,0,14*15+15,0,16*15+15,0,5*15+15,0,21*15+15,0,24*15+15,0,8*15+15,266,(89-67)*15+15,0,9*15+15,133,(35-34)*15+15,266,(73-67)*15+15,133,(59-34)*15+15,266,(67-67)*15+15,266,(71-67)*15+15,133,(47-34)*15+15,1466084213
266,420,137,196,133,360,266,60,133,135,133,45,0,420,604,474,266,465,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,-1,390,0,315,905,441,133,105,133,345,133,165,133,90,266,390,266,45,0,180,798,424,266,315,133,435,765,440,0,195,682,417,133,150,266,330,266,135,266,450,133,450,266,285,266,195,645,124,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,927,447,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084386
266,420,137,196,133,360,266,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,-1,390,0,315,905,441,133,105,133,345,133,165,133,90,266,390,266,45,0,180,798,424,266,315,133,435,765,440,0,195,682,417,133,150,266,330,266,135,752,315,133,450,266,285,266,195,645,124,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084401
266,420,137,196,133,360,266,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,-1,390,0,315,905,441,133,105,133,345,133,165,133,90,266,390,266,45,0,180,798,424,793,354,133,435,765,440,0,195,682,417,133,150,266,330,266,135,738,312,133,450,266,285,266,195,25,24,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084416
266,420,137,196,133,360,266,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,657,278,0,315,905,441,133,105,133,345,133,165,133,90,266,390,266,45,0,180,798,424,793,354,133,435,765,440,0,195,682,417,133,150,266,330,266,135,738,312,133,450,266,285,266,195,25,24,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,133,210,1466084431
266,420,148,193,133,360,266,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,657,278,0,315,905,441,133,105,133,345,133,165,133,90,266,390,851,410,0,180,798,424,793,354,133,435,765,440,0,195,682,417,133,150,266,330,266,135,738,312,133,450,266,285,266,195,25,24,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,266,225,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,142,208,1466084446
266,420,148,193,133,360,266,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,657,278,0,315,905,441,133,105,133,345,133,165,133,90,266,390,794,409,0,180,798,424,793,354,133,435,765,440,0,195,682,417,133,150,266,330,266,135,738,312,133,450,266,285,266,195,25,24,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,942,426,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,142,208,1466084461
266,420,148,193,133,360,266,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,680,491,657,278,0,315,905,441,133,105,133,345,133,165,133,90,847,403,803,433,0,180,798,424,784,337,133,435,765,440,0,195,682,417,133,150,266,330,266,135,738,312,133,450,266,285,266,195,25,24,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,942,426,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,0,435,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,142,208,1466084476
266,420,148,193,717,463,266,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,654,508,657,278,0,315,905,441,133,105,133,345,133,165,133,90,847,403,803,433,0,180,798,424,784,337,133,435,765,440,0,195,682,417,133,150,266,330,266,135,738,312,133,450,266,285,266,195,25,24,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,942,426,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,577,458,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,142,208,1466084491
266,420,148,193,717,463,270,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,654,508,657,278,0,315,905,441,133,105,133,345,133,165,133,90,847,403,803,433,0,180,798,424,784,337,133,435,765,440,0,195,682,417,133,150,266,330,266,135,738,312,133,450,266,285,266,195,25,24,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,942,426,0,45,266,90,266,360,133,270,813,491,0,165,133,60,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,602,354,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,142,208,1466084506
266,420,148,193,717,463,270,60,133,135,133,45,0,420,604,474,738,345,133,285,133,300,0,300,674,351,266,240,722,478,266,150,133,420,266,300,654,508,657,278,0,315,905,441,133,105,133,345,133,165,133,90,847,403,803,433,0,180,798,424,784,337,133,435,765,440,0,195,682,417,133,150,266,330,266,135,738,312,652,559,266,285,266,195,25,24,266,120,266,435,0,106,266,495,0,60,133,120,0,285,821,530,133,180,129,316,266,180,266,210,942,426,0,45,266,90,266,360,133,270,813,491,0,165,559,370,266,480,0,210,0,495,902,489,0,450,133,405,0,405,266,255,602,354,133,15,133,465,266,375,0,270,0,360,133,330,266,270,266,165,0,240,266,30,133,225,133,255,8,120,133,375,0,225,0,255,16,81,0,330,0,375,0,135,266,345,0,150,133,30,266,105,133,390,266,15,266,75,142,208,1466084521
