266,(69-67)*15+15,133,(47-34)*15+15,133,(56-34)*15+15,133,(34-34)*15+15,0,32*15+15,266,(70-67)*15+15,0,29*15+15,133,(59-34)*15+15,133,(36-34)*15+15,266,(79-67)*15+15,133,(45-34)*15+15,0,11*15+15,133,(37-34)*15+15,133,(46-34)*15+15,0,27*15+15,0,6*15+15,0,5*15+15,133,(48-34)*15+15,266,(89-67)*15+15,133,(52-34)*15+15,0,4*15+15,133,(62-34)*15+15,133,(54-34)*15+15,133,(64-34)*15+15,266,(71-67)*15+15,133,(60-34)*15+15,0,15*15+15,266,(76-67)*15+15,266,(83-67)*15+15,266,(88-67)*15+15,133,(50-34)*15+15,133,(35-34)*15+15,133,(55-34)*15+15,266,(86-67)*15+15,0,30*15+15,266,(82-67)*15+15,133,(39-34)*15+15,266,(96-67)*15+15,133,(57-34)*15+15,133,(63-34)*15+15,0,16*15+15,266,(85-67)*15+15,133,(44-34)*15+15,133,(41-34)*15+15,266,(73-67)*15+15,133,(53-34)*15+15,0,2*15+15,133,(40-34)*15+15,0,24*15+15,133,(43-34)*15+15,266,(99-67)*15+15,266,(81-67)*15+15,133,(51-34)*15+15,266,(97-67)*15+15,266,(91-67)*15+15,0,26*15+15,0,3*15+15,0,18*15+15,0,19*15+15,266,(98-67)*15+15,266,(80-67)*15+15,266,(84-67)*15+15,133,(49-34)*15+15,0,13*15+15,0,0*15+15,0,22*15+15,266,(68-67)*15+15,266,(75-67)*15+15,0,8*15+15,266,(77-67)*15+15,266,(78-67)*15+15,0,33*15+15,0,28*15+15,133,(38-34)*15+15,133,(66-34)*15+15,0,1*15+15,266,(67-67)*15+15,0,14*15+15,266,(92-67)*15+15,0,25*15+15,266,(72-67)*15+15,0,9*15+15,133,(61-34)*15+15,266,(93-67)*15+15,0,21*15+15,0,10*15+15,0,12*15+15,266,(95-67)*15+15,266,(74-67)*15+15,266,(87-67)*15+15,0,17*15+15,0,23*15+15,0,31*15+15,133,(42-34)*15+15,0,7*15+15,266,(94-67)*15+15,0,20*15+15,266,(90-67)*15+15,133,(58-34)*15+15,133,(65-34)*15+15,1467024196
266,45,133,210,416,23,133,15,0,495,266,60,652,349,548,228,133,45,266,195,133,180,0,180,133,60,133,195,513,364,0,105,0,90,133,225,266,345,133,285,0,75,695,250,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,729,324,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,827,404,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,0,210,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,711,212,133,75,511,311,0,30,810,432,0,225,816,256,0,390,266,90,0,150,811,508,266,405,0,330,0,165,0,195,266,435,266,120,865,162,0,270,0,360,0,480,133,135,920,454,266,420,0,315,266,360,522,260,133,480,1467024362
266,45,133,210,416,23,133,15,0,495,266,60,580,293,548,228,133,45,266,195,133,180,0,180,133,60,133,195,513,364,0,105,0,90,133,225,266,345,133,285,0,75,695,250,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,729,324,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,827,404,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,0,210,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,711,212,133,75,511,311,0,30,810,432,0,225,816,256,0,390,266,90,0,150,811,508,266,405,0,330,0,165,0,195,266,435,266,120,865,162,0,270,659,328,0,480,133,135,920,454,266,420,0,315,266,360,522,260,133,480,1467024377
266,45,133,210,472,106,133,15,0,495,266,60,580,293,548,228,133,45,266,195,133,180,0,180,133,60,133,195,513,364,0,105,0,90,133,225,266,345,133,285,0,75,695,250,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,495,56,0,255,673,322,133,165,133,120,266,105,133,300,0,45,669,307,827,404,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,0,210,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,711,212,133,75,511,311,0,30,810,432,0,225,816,256,0,390,266,90,0,150,811,508,266,405,0,330,0,165,0,195,266,435,266,120,865,162,0,270,659,328,0,480,133,135,920,454,266,420,0,315,266,360,522,260,133,480,1467024392
266,45,133,210,472,106,133,15,0,495,266,60,580,293,548,228,133,45,266,195,133,180,806,392,133,60,133,195,513,364,0,105,0,90,133,225,266,345,133,285,0,75,695,250,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,405,10,623,291,673,322,133,165,133,120,266,105,133,300,0,45,669,307,827,404,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,0,210,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,711,212,133,75,511,311,0,30,810,432,0,225,816,256,0,390,266,90,860,389,811,508,266,405,0,330,817,445,0,195,266,435,266,120,865,162,0,270,659,328,0,480,133,135,920,454,266,420,0,315,266,360,522,260,133,480,1467024407
266,45,133,210,472,106,133,15,0,495,266,60,580,293,548,228,133,45,266,195,133,180,504,427,133,60,133,195,513,364,0,105,0,90,133,225,266,345,133,285,0,75,695,250,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,405,10,623,291,673,322,133,165,133,120,266,105,133,300,0,45,669,307,827,404,133,150,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,703,311,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,711,212,133,75,511,311,0,30,810,432,792,391,816,256,0,390,799,474,860,389,811,508,266,405,0,330,817,445,659,186,266,435,266,120,865,162,0,270,659,328,0,480,133,135,920,454,266,420,0,315,266,360,522,260,133,480,1467024422
266,45,133,210,472,106,133,15,0,495,266,60,580,293,548,228,133,45,453,533,133,180,504,427,133,60,133,195,513,364,0,105,0,90,133,225,266,345,133,285,0,75,695,250,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,133,255,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,405,10,623,291,673,322,133,165,703,287,778,368,133,300,0,45,669,307,827,404,597,282,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,0,300,266,480,608,269,540,450,702,345,703,311,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,711,212,133,75,511,311,0,30,810,432,792,391,816,256,0,390,799,474,860,389,811,508,266,405,0,330,817,445,659,186,266,435,815,362,865,162,0,270,659,328,0,480,759,339,920,454,266,420,0,315,266,360,522,260,133,480,1467024437
266,45,133,210,472,106,133,15,0,495,266,60,580,293,548,228,133,45,453,533,133,180,504,427,133,60,133,195,513,364,0,105,0,90,548,437,266,345,133,285,0,75,695,250,133,315,504,328,519,503,516,291,425,82,450,148,451,470,607,281,481,448,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,405,10,623,291,673,322,133,165,703,287,778,368,133,300,0,45,669,307,827,404,579,254,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,734,377,266,480,608,269,540,450,702,345,703,311,0,15,0,345,266,30,501,117,0,135,611,115,497,183,0,510,711,212,133,75,511,311,0,30,810,432,792,391,816,256,763,364,799,474,860,389,811,508,266,405,0,330,817,445,659,186,266,435,815,362,865,162,684,301,659,328,0,480,759,339,920,454,266,420,0,315,266,360,522,260,133,480,1467024452
266,45,133,210,472,106,133,15,0,495,266,60,580,293,548,228,133,45,453,533,133,180,504,427,133,60,133,195,513,364,0,105,863,201,548,437,266,345,133,285,0,75,695,250,133,315,814,192,519,503,516,291,425,82,450,148,451,470,607,281,481,448,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,405,10,623,291,673,322,133,165,703,287,778,368,133,300,0,45,669,307,827,404,579,254,897,520,614,213,133,270,266,465,266,375,525,80,862,466,0,285,734,377,266,480,608,269,540,450,702,345,703,311,0,15,443,485,266,30,501,117,0,135,611,115,497,183,0,510,711,212,133,75,831,145,0,30,810,432,792,391,816,256,763,364,799,474,860,389,811,508,266,405,0,330,817,445,659,186,266,435,815,362,865,162,684,301,659,328,0,480,759,339,920,454,266,420,0,315,266,360,830,179,133,480,1467024467
266,45,133,210,472,106,133,15,0,495,266,60,580,293,548,228,133,45,453,533,133,180,504,427,133,60,133,195,513,364,0,105,863,201,548,437,266,345,133,285,909,218,695,250,133,315,814,192,519,503,516,291,425,82,450,148,451,470,607,281,481,448,133,30,133,330,266,300,0,465,855,238,133,90,266,450,438,451,405,10,623,291,673,322,133,165,703,287,778,368,133,300,666,333,669,307,827,404,579,254,897,520,614,213,133,270,266,465,266,375,525,80,862,466,621,358,734,377,266,480,608,269,540,450,702,345,703,311,853,213,443,485,266,30,501,117,834,131,611,115,497,183,0,510,711,212,133,75,831,145,828,235,810,432,792,391,816,256,763,364,799,474,860,389,811,508,266,405,0,330,817,445,659,186,266,435,815,362,865,162,684,301,659,328,0,480,759,339,920,454,266,420,0,315,266,360,830,179,133,480,1467024482
266,45,133,210,472,106,133,15,0,495,266,60,580,293,548,228,133,45,453,533,133,180,504,427,133,60,133,195,513,364,0,105,863,201,548,437,798,178,133,285,909,218,695,250,133,315,814,192,519,503,516,291,425,82,450,148,451,470,607,281,481,448,133,30,133,330,266,300,0,465,855,238,133,90,673,501,438,451,405,10,623,291,673,322,133,165,703,287,778,368,133,300,666,333,669,307,827,404,579,254,897,520,614,213,133,270,687,406,266,375,525,80,862,466,621,358,734,377,266,480,608,269,540,450,702,345,703,311,853,213,443,485,266,30,501,117,834,131,611,115,497,183,0,510,711,212,133,75,831,145,828,235,810,432,792,391,816,256,763,364,799,474,860,389,811,508,812,392,0,330,817,445,659,186,846,202,815,362,865,162,684,301,659,328,0,480,759,339,920,454,816,418,801,407,266,360,830,179,133,480,1467024497
