266,(74-67)*15+15,266,(87-67)*15+15,133,(46-34)*15+15,0,18*15+15,0,2*15+15,0,14*15+15,133,(52-34)*15+15,266,(83-67)*15+15,0,24*15+15,266,(77-67)*15+15,133,(40-34)*15+15,133,(43-34)*15+15,133,(56-34)*15+15,266,(85-67)*15+15,266,(99-67)*15+15,133,(47-34)*15+15,133,(61-34)*15+15,0,27*15+15,266,(82-67)*15+15,266,(88-67)*15+15,133,(65-34)*15+15,0,26*15+15,266,(84-67)*15+15,0,1*15+15,0,3*15+15,133,(49-34)*15+15,0,11*15+15,133,(39-34)*15+15,266,(86-67)*15+15,133,(66-34)*15+15,266,(95-67)*15+15,133,(60-34)*15+15,0,28*15+15,266,(91-67)*15+15,266,(78-67)*15+15,133,(59-34)*15+15,0,23*15+15,0,6*15+15,133,(53-34)*15+15,0,31*15+15,266,(90-67)*15+15,0,10*15+15,133,(42-34)*15+15,0,7*15+15,266,(68-67)*15+15,133,(35-34)*15+15,0,13*15+15,133,(45-34)*15+15,133,(41-34)*15+15,266,(80-67)*15+15,266,(75-67)*15+15,0,0*15+15,266,(94-67)*15+15,266,(81-67)*15+15,266,(72-67)*15+15,0,29*15+15,266,(73-67)*15+15,0,33*15+15,0,16*15+15,0,12*15+15,266,(79-67)*15+15,133,(44-34)*15+15,133,(50-34)*15+15,133,(34-34)*15+15,133,(62-34)*15+15,133,(36-34)*15+15,266,(76-67)*15+15,133,(58-34)*15+15,0,17*15+15,0,19*15+15,133,(57-34)*15+15,133,(54-34)*15+15,133,(63-34)*15+15,0,15*15+15,133,(64-34)*15+15,0,32*15+15,266,(92-67)*15+15,266,(93-67)*15+15,0,25*15+15,266,(67-67)*15+15,266,(89-67)*15+15,0,20*15+15,266,(96-67)*15+15,266,(70-67)*15+15,0,8*15+15,0,4*15+15,0,21*15+15,266,(98-67)*15+15,133,(55-34)*15+15,266,(97-67)*15+15,133,(37-34)*15+15,133,(38-34)*15+15,266,(71-67)*15+15,0,22*15+15,266,(69-67)*15+15,0,9*15+15,0,30*15+15,133,(51-34)*15+15,0,5*15+15,133,(48-34)*15+15,1478710897
266,120,266,315,133,195,445,430,591,244,445,439,133,285,266,255,504,354,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,506,365,133,240,597,321,133,90,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,133,300,0,480,266,360,761,330,133,135,771,321,266,30,133,30,720,188,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,0,450,266,105,0,510,825,126,891,50,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,0,495,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,133,60,133,75,266,75,882,229,266,45,770,241,800,302,133,270,699,310,133,225,1478711064
266,120,266,315,133,195,445,430,591,244,445,439,133,285,266,255,504,354,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,506,365,133,240,597,321,133,90,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,133,300,839,471,266,360,761,330,133,135,771,321,266,30,133,30,720,188,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,0,510,825,126,891,50,266,195,133,165,133,255,133,15,133,435,133,45,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,718,426,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,133,60,133,75,266,75,882,229,266,45,770,241,758,228,133,270,699,310,133,225,1478711079
266,120,266,315,133,195,445,430,591,244,445,439,133,285,266,255,504,354,266,165,133,105,133,150,133,345,266,285,266,495,133,210,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,506,365,133,240,597,321,133,90,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,133,300,839,471,266,360,761,330,133,135,771,321,266,30,717,183,720,188,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,840,140,825,126,891,50,266,195,133,165,133,255,606,434,133,435,613,120,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,619,424,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,133,60,133,75,266,75,882,229,266,45,770,241,758,228,133,270,699,310,133,225,1478711094
266,120,266,315,133,195,445,430,591,244,445,439,133,285,266,255,504,354,266,165,207,152,133,150,133,345,266,285,266,495,133,210,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,506,365,133,240,597,321,445,155,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,133,300,839,471,266,360,761,330,133,135,771,321,266,30,717,183,720,188,133,180,133,120,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,840,140,825,126,891,50,266,195,133,165,133,255,606,434,133,435,591,449,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,619,424,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,651,279,656,286,266,75,882,229,266,45,770,241,758,228,133,270,699,310,133,225,1478711109
266,120,266,315,133,195,445,430,591,244,445,439,133,285,266,255,500,217,266,165,491,420,133,150,133,345,266,285,266,495,133,210,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,487,194,133,240,597,321,445,155,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,133,300,839,471,266,360,761,330,752,378,771,321,266,30,717,183,720,188,133,180,837,247,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,840,140,825,126,891,50,266,195,133,165,133,255,606,434,133,435,591,449,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,619,424,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,651,279,656,286,266,75,882,229,266,45,770,241,758,228,133,270,699,310,133,225,1478711124
266,120,266,315,568,226,445,430,591,244,445,439,133,285,266,255,500,217,266,165,491,420,485,408,133,345,266,285,266,495,133,210,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,487,194,133,240,597,321,445,155,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,133,300,839,471,266,360,761,330,778,350,771,321,266,30,717,183,720,188,699,172,837,247,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,840,140,825,126,891,50,266,195,655,303,133,255,606,434,133,435,591,449,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,619,424,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,651,279,656,286,266,75,882,229,266,45,770,241,758,228,133,270,699,310,133,225,1478711139
266,120,266,315,567,225,445,430,591,244,445,439,133,285,266,255,500,217,266,165,491,420,485,408,133,345,266,285,266,495,832,297,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,487,194,133,240,597,321,445,155,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,133,300,839,471,266,360,761,330,778,350,771,321,266,30,717,183,720,188,699,172,837,247,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,840,140,825,126,891,50,266,195,655,303,133,255,606,434,133,435,591,449,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,619,424,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,651,279,656,286,266,75,882,229,266,45,770,241,758,228,133,270,699,310,839,334,1478711154
266,120,266,315,567,225,445,430,591,244,445,439,806,392,266,255,500,217,266,165,491,420,485,408,133,345,266,285,266,495,832,297,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,487,194,653,270,597,321,445,155,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,133,300,839,471,266,360,761,330,778,350,771,321,266,30,717,183,720,188,699,172,837,247,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,840,140,825,126,891,50,266,195,655,303,573,271,606,434,133,435,591,449,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,619,424,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,651,279,656,286,266,75,882,229,266,45,770,241,758,228,805,172,699,310,841,377,1478711169
266,120,266,315,567,225,445,430,591,244,445,439,569,336,266,255,500,217,266,165,491,420,485,408,133,345,266,285,266,495,832,297,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,487,194,653,270,597,321,445,155,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,846,444,839,471,266,360,761,330,778,350,771,321,266,30,717,183,720,188,699,172,837,247,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,840,140,825,126,891,50,266,195,655,303,573,271,606,434,133,435,591,449,266,150,133,375,604,414,605,404,133,360,133,315,133,450,599,391,133,465,619,424,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,133,330,266,465,651,279,656,286,266,75,882,229,266,45,770,241,758,228,805,172,699,310,841,377,1478711184
266,120,266,315,567,225,445,430,591,244,445,439,569,336,266,255,500,217,266,165,491,420,485,408,451,393,266,285,266,495,832,297,133,420,478,440,266,240,266,330,133,480,454,174,266,270,598,231,487,194,653,270,597,321,445,155,266,300,133,495,266,435,133,405,523,204,266,375,266,180,133,390,426,452,942,476,846,444,839,471,266,360,761,330,778,350,771,321,266,30,717,183,720,188,699,172,837,247,266,210,266,135,655,292,266,420,266,225,266,90,408,120,266,105,840,140,825,126,891,50,266,195,655,303,573,271,606,434,133,435,591,449,266,150,669,360,604,414,605,404,660,349,644,339,133,450,599,391,133,465,619,424,266,390,266,405,779,136,266,15,266,345,787,160,266,450,266,60,745,257,882,60,786,271,266,480,679,323,266,465,651,279,656,286,266,75,882,229,266,45,770,241,758,228,805,172,699,310,841,377,1478711199
