133,(44-34)*15+15,266,(96-67)*15+15,0,12*15+15,0,21*15+15,266,(92-67)*15+15,266,(93-67)*15+15,133,(36-34)*15+15,0,30*15+15,133,(40-34)*15+15,133,(47-34)*15+15,266,(69-67)*15+15,0,18*15+15,266,(83-67)*15+15,133,(35-34)*15+15,133,(63-34)*15+15,133,(39-34)*15+15,0,7*15+15,133,(56-34)*15+15,0,29*15+15,133,(48-34)*15+15,133,(37-34)*15+15,133,(34-34)*15+15,0,5*15+15,0,25*15+15,133,(49-34)*15+15,266,(85-67)*15+15,0,20*15+15,133,(52-34)*15+15,0,27*15+15,266,(78-67)*15+15,133,(59-34)*15+15,0,1*15+15,0,33*15+15,133,(41-34)*15+15,266,(86-67)*15+15,0,28*15+15,133,(43-34)*15+15,266,(91-67)*15+15,266,(90-67)*15+15,266,(94-67)*15+15,0,19*15+15,0,10*15+15,266,(75-67)*15+15,0,4*15+15,0,2*15+15,133,(55-34)*15+15,266,(74-67)*15+15,133,(45-34)*15+15,266,(82-67)*15+15,0,24*15+15,133,(64-34)*15+15,133,(50-34)*15+15,133,(57-34)*15+15,133,(60-34)*15+15,266,(77-67)*15+15,266,(76-67)*15+15,266,(70-67)*15+15,266,(80-67)*15+15,266,(89-67)*15+15,133,(53-34)*15+15,0,11*15+15,266,(81-67)*15+15,266,(71-67)*15+15,0,32*15+15,266,(72-67)*15+15,133,(61-34)*15+15,133,(38-34)*15+15,133,(65-34)*15+15,0,16*15+15,266,(68-67)*15+15,266,(67-67)*15+15,0,26*15+15,266,(84-67)*15+15,133,(51-34)*15+15,0,31*15+15,0,8*15+15,266,(95-67)*15+15,0,14*15+15,133,(54-34)*15+15,0,17*15+15,266,(99-67)*15+15,0,3*15+15,266,(97-67)*15+15,266,(73-67)*15+15,0,13*15+15,266,(98-67)*15+15,0,22*15+15,0,15*15+15,0,6*15+15,0,9*15+15,133,(42-34)*15+15,133,(62-34)*15+15,266,(79-67)*15+15,133,(46-34)*15+15,266,(88-67)*15+15,0,23*15+15,133,(66-34)*15+15,133,(58-34)*15+15,0,0*15+15,266,(87-67)*15+15,1465031817
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,737,258,133,90,0,120,140,303,0,450,506,88,133,60,133,15,0,90,0,390,954,363,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,830,246,721,54,133,405,266,165,266,150,810,83,266,210,266,345,672,38,824,213,831,188,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,722,331,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032027
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,737,258,133,90,0,120,140,303,0,450,506,88,133,60,133,15,-16,466,0,390,865,393,266,285,0,315,133,285,486,50,266,180,554,106,420,41,0,510,459,142,266,300,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,830,246,721,54,133,405,266,165,266,150,810,83,266,210,266,345,672,38,824,213,831,188,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,722,331,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032042
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,737,258,133,90,0,120,140,303,0,450,506,88,133,60,852,477,-16,466,0,390,865,393,266,285,0,315,133,285,486,50,845,440,554,106,420,41,0,510,459,142,266,300,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,830,246,721,54,133,405,266,165,820,461,810,83,266,210,266,345,672,38,824,213,831,188,266,75,0,495,266,90,133,420,133,75,133,480,0,255,266,30,266,15,0,405,266,270,133,270,0,480,722,331,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032057
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,133,105,434,102,729,26,461,65,440,223,434,54,737,258,133,90,0,120,140,303,0,450,506,88,133,60,919,524,-16,466,0,390,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,0,510,459,142,747,449,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,0,495,524,348,133,420,133,75,133,480,0,255,266,30,266,15,0,405,684,346,601,331,0,480,722,331,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032102
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,144,115,434,102,729,26,461,65,440,223,434,54,737,258,142,91,0,120,140,303,0,450,506,88,904,466,919,524,-16,466,0,390,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,0,510,459,142,747,449,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,0,495,524,348,133,420,133,75,133,480,0,255,575,376,530,362,0,405,684,346,601,331,0,480,722,331,266,435,0,225,133,315,0,270,266,495,0,60,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032117
602,94,427,156,0,195,0,330,266,390,266,405,133,45,0,465,144,115,434,102,729,26,461,65,440,223,434,54,737,258,666,115,0,120,140,303,0,450,506,88,904,466,919,524,-16,466,0,390,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,0,510,459,142,747,449,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,0,495,524,348,133,420,133,75,133,480,0,255,575,376,530,362,0,405,684,346,601,331,0,480,722,331,266,435,0,225,133,315,0,270,266,495,901,99,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032132
602,94,427,156,0,195,572,120,266,390,266,405,133,45,0,465,144,115,434,102,729,26,461,65,440,223,434,54,737,258,666,115,0,120,140,303,0,450,506,88,904,466,919,524,-16,466,0,390,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,0,510,459,142,747,449,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,0,375,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,0,495,524,348,133,420,133,75,133,480,0,255,575,376,530,362,0,405,684,346,601,331,0,480,722,331,266,435,0,225,133,315,0,270,266,495,901,99,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032147
602,94,427,156,0,195,572,120,266,390,266,405,133,45,0,465,144,115,434,102,729,26,461,65,440,223,434,54,737,258,666,115,0,120,140,303,0,450,506,88,904,466,919,524,-16,466,599,146,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,0,510,459,142,747,449,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,791,410,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,0,495,524,348,133,420,133,75,133,480,0,255,575,376,530,362,0,405,684,346,601,331,0,480,722,331,266,435,0,225,133,315,0,270,266,495,901,99,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032162
602,94,427,156,0,195,572,120,266,390,266,405,133,45,0,465,144,115,434,102,729,26,461,65,440,223,434,54,737,258,666,115,0,120,140,303,0,450,506,88,904,466,919,524,13,483,599,146,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,835,415,459,142,722,451,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,839,473,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,0,495,524,348,133,420,133,75,133,480,0,255,575,376,530,362,0,405,684,346,601,331,62,447,722,331,266,435,0,225,133,315,0,270,266,495,901,99,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032177
602,94,427,156,0,195,572,120,266,390,266,405,133,45,0,465,144,115,434,102,729,26,461,65,440,223,434,54,737,258,666,115,0,120,140,303,0,450,506,88,904,466,919,524,13,483,599,146,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,835,415,459,142,722,451,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,839,473,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,0,495,524,348,133,420,641,357,133,480,0,255,575,376,530,362,0,405,684,346,601,331,62,447,722,331,266,435,0,225,133,315,0,270,266,495,901,99,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032192
602,94,427,156,0,195,572,120,266,390,266,405,133,45,0,465,144,115,434,102,729,26,461,65,440,223,434,54,737,258,666,115,511,426,140,303,598,415,506,88,904,466,919,524,13,483,599,146,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,835,415,459,142,722,451,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,839,473,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,0,495,524,348,133,420,641,357,133,480,0,255,575,376,530,362,538,391,684,346,601,331,62,447,722,331,266,435,0,225,133,315,0,270,266,495,901,99,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032207
602,94,427,156,0,195,572,120,266,390,266,405,133,45,537,452,144,115,434,102,729,26,461,65,440,223,434,54,737,258,666,115,511,426,140,303,557,439,506,88,904,466,919,524,685,484,599,146,865,393,789,439,0,315,822,402,486,50,845,440,554,106,420,41,835,415,459,142,722,451,540,72,648,51,915,53,823,22,266,420,0,300,0,165,266,135,0,75,0,45,675,67,266,120,133,180,825,129,839,473,881,33,830,246,721,54,133,405,924,486,914,503,810,83,266,210,266,345,672,38,824,213,831,188,611,346,690,470,524,348,133,420,641,357,133,480,0,255,575,376,530,362,538,391,684,346,601,331,719,402,722,331,266,435,0,225,133,315,0,270,266,495,901,99,266,465,266,105,0,210,266,480,0,345,0,240,782,307,816,376,133,135,133,435,266,195,133,195,266,330,0,360,133,495,946,86,0,15,266,315,1465032222
