0,2*15+15,133,(51-34)*15+15,266,(89-67)*15+15,0,28*15+15,133,(64-34)*15+15,133,(38-34)*15+15,0,30*15+15,0,26*15+15,0,24*15+15,133,(50-34)*15+15,0,13*15+15,0,14*15+15,133,(34-34)*15+15,266,(88-67)*15+15,133,(40-34)*15+15,133,(41-34)*15+15,266,(99-67)*15+15,133,(62-34)*15+15,266,(90-67)*15+15,0,16*15+15,266,(68-67)*15+15,0,22*15+15,0,9*15+15,0,12*15+15,266,(84-67)*15+15,133,(36-34)*15+15,266,(92-67)*15+15,0,18*15+15,0,17*15+15,266,(80-67)*15+15,0,33*15+15,133,(58-34)*15+15,0,23*15+15,0,11*15+15,133,(47-34)*15+15,0,31*15+15,266,(87-67)*15+15,0,29*15+15,266,(67-67)*15+15,266,(83-67)*15+15,133,(54-34)*15+15,133,(61-34)*15+15,133,(46-34)*15+15,133,(48-34)*15+15,0,6*15+15,133,(52-34)*15+15,266,(97-67)*15+15,0,3*15+15,133,(57-34)*15+15,0,27*15+15,266,(96-67)*15+15,133,(37-34)*15+15,133,(59-34)*15+15,266,(69-67)*15+15,266,(82-67)*15+15,133,(56-34)*15+15,266,(79-67)*15+15,133,(63-34)*15+15,0,15*15+15,266,(74-67)*15+15,0,4*15+15,266,(71-67)*15+15,0,25*15+15,266,(78-67)*15+15,266,(94-67)*15+15,0,20*15+15,133,(49-34)*15+15,266,(75-67)*15+15,133,(39-34)*15+15,266,(93-67)*15+15,266,(85-67)*15+15,0,1*15+15,133,(65-34)*15+15,266,(70-67)*15+15,266,(95-67)*15+15,0,5*15+15,0,0*15+15,133,(43-34)*15+15,133,(53-34)*15+15,133,(35-34)*15+15,266,(86-67)*15+15,0,19*15+15,266,(77-67)*15+15,133,(42-34)*15+15,133,(45-34)*15+15,266,(73-67)*15+15,0,32*15+15,133,(44-34)*15+15,266,(76-67)*15+15,266,(91-67)*15+15,133,(66-34)*15+15,0,21*15+15,266,(81-67)*15+15,266,(98-67)*15+15,0,10*15+15,0,7*15+15,266,(72-67)*15+15,133,(60-34)*15+15,0,8*15+15,133,(55-34)*15+15,1469794567
668,26,133,270,266,345,540,11,133,465,647,47,618,361,713,544,757,43,133,255,714,22,628,14,522,21,266,330,897,544,687,48,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,133,375,683,574,701,88,133,210,588,28,266,315,576,16,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,438,282,133,360,656,351,266,450,744,293,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,133,240,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,133,150,133,300,491,41,266,300,426,55,266,165,133,135,133,180,266,105,613,397,133,165,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794772
668,26,133,270,266,345,540,11,133,465,647,47,618,361,713,544,757,43,133,255,714,22,628,14,522,21,266,330,897,544,687,48,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,133,375,683,574,701,88,133,210,588,28,266,315,576,16,266,15,266,255,133,315,133,420,133,195,133,225,451,116,133,285,266,465,438,282,133,360,656,351,266,450,744,293,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,133,240,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,133,300,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794787
668,26,133,270,266,345,540,11,133,465,647,47,618,361,713,544,757,43,133,255,714,22,628,14,522,21,266,330,897,544,687,48,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,133,375,683,574,701,88,681,533,588,28,266,315,576,16,266,15,266,255,133,315,133,420,456,163,715,464,451,116,133,285,266,465,438,282,133,360,656,351,266,450,744,293,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,779,371,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,133,300,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794802
668,26,678,87,266,345,540,11,133,465,647,47,618,361,713,544,757,43,699,70,714,22,628,14,522,21,266,330,897,544,687,48,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,133,375,683,574,701,88,681,533,588,28,266,315,576,16,266,15,266,255,515,408,133,420,456,163,715,464,451,116,474,133,266,465,438,282,133,360,656,351,266,450,744,293,133,390,266,45,266,240,133,345,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,779,371,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,455,68,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,133,330,1469794817
668,26,678,87,266,345,540,11,133,465,647,47,618,361,713,544,757,43,699,70,714,22,628,14,522,21,266,330,897,544,687,48,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,133,375,683,574,701,88,681,533,588,28,266,315,576,16,266,15,266,255,738,452,133,420,456,163,715,464,451,116,474,133,266,465,438,282,547,268,656,351,266,450,744,293,133,390,266,45,266,240,883,528,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,779,371,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,455,68,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,670,215,1469794832
668,26,678,87,266,345,540,11,133,465,647,47,618,361,713,544,757,43,699,70,714,22,628,14,522,21,266,330,897,544,687,48,292,518,133,435,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,133,375,683,574,701,88,681,533,588,28,266,315,576,16,266,15,266,255,738,452,133,420,456,163,715,464,451,116,474,133,266,465,438,282,536,153,656,351,266,450,744,293,597,463,266,45,266,240,883,528,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,779,371,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,455,68,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,133,405,711,334,670,215,1469794847
668,26,678,87,266,345,540,11,133,465,647,47,618,361,713,544,757,43,699,70,714,22,628,14,522,21,266,330,897,544,687,48,292,518,850,14,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,764,28,683,574,701,88,681,533,588,28,266,315,576,16,266,15,266,255,738,452,617,444,456,163,715,464,451,116,474,133,266,465,438,282,536,153,656,351,266,450,744,293,593,461,266,45,266,240,883,528,266,195,133,450,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,779,371,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,455,68,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,564,167,711,334,670,215,1469794862
668,26,678,87,266,345,540,11,133,465,647,47,618,361,713,544,757,43,699,70,714,22,628,14,522,21,266,330,897,544,687,48,292,518,850,14,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,764,28,683,574,701,88,681,533,588,28,266,315,576,16,266,15,266,255,738,452,617,444,456,163,715,464,451,116,474,133,266,465,438,282,536,153,656,351,266,450,744,293,593,461,266,45,266,240,883,528,266,195,463,186,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,779,371,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,455,68,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,564,167,711,334,670,215,1469794877
668,26,678,87,266,345,540,11,133,465,647,47,618,361,713,544,757,43,699,70,714,22,628,14,522,21,266,330,897,544,687,48,292,518,850,14,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,764,28,683,574,701,88,681,533,588,28,266,315,576,16,266,15,266,255,738,452,617,444,456,163,715,464,451,116,474,133,266,465,438,282,536,153,656,351,266,450,744,293,593,461,266,45,266,240,883,528,266,195,463,186,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,779,371,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,455,68,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,564,167,711,334,670,215,1469794892
668,26,678,87,266,345,540,11,133,465,647,47,618,361,713,544,757,43,699,70,714,22,628,14,522,21,266,330,897,544,687,48,292,518,850,14,266,360,681,9,266,30,761,508,488,175,550,209,266,270,686,308,266,390,841,560,660,36,266,210,777,14,764,28,683,574,701,88,681,533,588,28,266,315,576,16,266,15,266,255,738,452,617,444,456,163,715,464,451,116,474,133,266,465,438,282,536,153,656,351,266,450,744,293,593,461,266,45,266,240,883,528,266,195,463,186,529,56,266,120,899,588,266,75,775,353,266,180,266,420,577,244,779,371,266,135,642,474,266,405,266,285,709,144,133,480,266,60,266,435,819,333,417,23,409,74,455,68,491,41,266,300,425,55,266,165,486,106,502,280,266,105,613,397,790,469,266,150,266,375,133,495,670,446,266,225,266,480,531,36,474,148,266,90,564,167,711,334,670,215,1469794907
