266,(77-67)*15+15,266,(94-67)*15+15,266,(82-67)*15+15,266,(78-67)*15+15,266,(68-67)*15+15,133,(48-34)*15+15,0,25*15+15,266,(89-67)*15+15,266,(72-67)*15+15,266,(91-67)*15+15,266,(84-67)*15+15,133,(57-34)*15+15,133,(54-34)*15+15,0,8*15+15,266,(90-67)*15+15,266,(97-67)*15+15,0,31*15+15,266,(96-67)*15+15,133,(37-34)*15+15,0,33*15+15,0,23*15+15,133,(60-34)*15+15,266,(67-67)*15+15,0,14*15+15,0,1*15+15,133,(66-34)*15+15,0,2*15+15,266,(71-67)*15+15,0,13*15+15,133,(36-34)*15+15,133,(41-34)*15+15,266,(76-67)*15+15,0,0*15+15,133,(62-34)*15+15,266,(79-67)*15+15,0,9*15+15,0,19*15+15,133,(45-34)*15+15,133,(50-34)*15+15,0,16*15+15,133,(44-34)*15+15,133,(49-34)*15+15,0,22*15+15,133,(55-34)*15+15,0,12*15+15,0,5*15+15,133,(42-34)*15+15,266,(98-67)*15+15,133,(43-34)*15+15,133,(34-34)*15+15,0,28*15+15,266,(85-67)*15+15,266,(73-67)*15+15,133,(56-34)*15+15,266,(99-67)*15+15,0,32*15+15,133,(61-34)*15+15,0,26*15+15,0,6*15+15,133,(51-34)*15+15,133,(38-34)*15+15,133,(52-34)*15+15,0,17*15+15,266,(95-67)*15+15,266,(70-67)*15+15,0,10*15+15,133,(35-34)*15+15,0,7*15+15,133,(58-34)*15+15,266,(75-67)*15+15,266,(88-67)*15+15,266,(86-67)*15+15,133,(39-34)*15+15,0,29*15+15,133,(63-34)*15+15,133,(64-34)*15+15,0,18*15+15,0,15*15+15,266,(69-67)*15+15,133,(65-34)*15+15,266,(93-67)*15+15,133,(47-34)*15+15,133,(46-34)*15+15,266,(81-67)*15+15,266,(87-67)*15+15,0,3*15+15,133,(40-34)*15+15,0,4*15+15,266,(74-67)*15+15,0,24*15+15,133,(53-34)*15+15,266,(92-67)*15+15,266,(80-67)*15+15,0,11*15+15,0,21*15+15,266,(83-67)*15+15,0,30*15+15,133,(59-34)*15+15,0,20*15+15,0,27*15+15,1465900353
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,531,493,266,450,133,60,843,50,683,405,133,405,266,15,715,441,512,81,133,495,480,107,266,75,880,179,133,45,133,120,266,150,446,54,133,435,266,195,801,317,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,823,222,133,135,266,480,133,150,133,15,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,133,75,133,285,492,388,266,435,266,60,770,71,133,30,510,411,133,375,266,135,266,330,266,300,133,90,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900606
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,531,493,266,450,133,60,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,880,179,556,69,133,120,266,150,446,54,133,435,266,195,801,317,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,823,222,133,135,266,480,133,150,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,133,75,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,133,90,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900621
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,531,493,266,450,489,518,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,880,179,538,73,133,120,266,150,446,54,133,435,266,195,801,317,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,823,222,133,135,266,480,133,150,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,747,481,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,436,420,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,133,105,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900636
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,531,493,266,450,489,518,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,880,179,538,73,773,341,266,150,446,54,133,435,266,195,801,317,886,287,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,823,222,133,135,266,480,133,150,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,747,481,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,436,420,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,760,317,790,548,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900651
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,531,493,266,450,489,518,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,880,179,538,73,773,341,266,150,446,54,133,435,266,195,801,317,894,307,133,180,133,255,519,142,133,165,133,240,927,118,133,330,890,115,840,222,719,136,266,480,133,150,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,747,481,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,436,420,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,133,195,266,225,266,315,825,273,790,548,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900666
266,165,266,420,266,240,266,180,266,30,133,225,624,512,266,345,266,90,266,375,266,270,133,360,133,315,931,202,266,360,266,465,531,493,266,450,489,518,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,880,179,538,73,773,341,266,150,446,54,133,435,266,195,801,317,894,307,917,323,133,255,519,142,691,152,133,240,927,118,133,330,890,115,840,222,719,136,266,480,887,349,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,747,481,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,436,420,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,133,210,904,270,266,225,266,315,825,273,790,548,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900681
266,165,266,420,266,240,266,180,266,30,923,178,624,512,266,345,266,90,266,375,266,270,133,360,133,315,939,437,266,360,266,465,531,493,266,450,489,518,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,906,415,538,73,773,341,266,150,446,54,133,435,266,195,801,317,894,307,917,323,133,255,519,142,691,152,133,240,927,118,133,330,890,115,840,222,719,136,266,480,887,349,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,747,481,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,436,420,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,875,156,904,270,266,225,266,315,825,273,790,548,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900696
266,165,266,420,266,240,266,180,266,30,921,178,624,512,266,345,266,90,266,375,266,270,133,360,133,315,939,437,266,360,266,465,531,493,266,450,489,518,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,906,415,538,73,773,341,266,150,446,54,133,435,266,195,801,317,894,307,917,323,133,255,519,142,691,152,878,94,927,118,133,330,878,112,840,222,719,136,266,480,887,349,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,747,481,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,436,420,422,374,133,450,133,465,852,138,918,133,266,45,133,480,266,405,875,156,904,270,266,225,266,315,825,273,790,548,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900711
266,165,266,420,266,240,266,180,266,30,921,178,624,512,266,345,266,90,266,375,266,270,133,360,133,315,939,437,266,360,266,465,531,493,266,450,489,518,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,906,415,538,73,773,341,266,150,446,54,133,435,266,195,801,317,894,307,917,323,830,355,519,142,939,95,878,94,941,111,133,330,878,112,840,222,719,136,266,480,887,349,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,133,270,747,481,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,436,420,422,374,133,450,133,465,852,138,915,144,266,45,133,480,266,405,850,172,904,270,266,225,266,315,825,273,790,548,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900726
266,165,266,420,266,240,266,180,266,30,921,178,624,512,266,345,266,90,266,375,266,270,133,360,133,315,939,437,266,360,266,465,531,493,266,450,489,518,843,50,683,405,133,405,266,15,715,441,483,90,133,495,470,113,266,75,906,415,538,73,773,341,266,150,446,54,133,435,266,195,801,317,894,307,917,323,830,355,519,142,939,95,878,94,941,111,133,330,878,112,840,222,719,136,266,480,887,349,592,131,858,331,266,285,266,105,133,345,266,495,634,62,133,420,889,251,745,281,710,316,747,481,133,285,492,388,266,435,266,60,770,71,491,329,510,411,133,375,266,135,266,330,266,300,436,420,422,374,133,450,133,465,852,138,915,144,266,45,133,480,266,405,850,172,904,270,266,225,266,315,825,273,790,548,444,303,266,120,590,33,133,300,266,390,266,210,748,254,834,247,266,255,775,231,133,390,452,195,466,215,1465900741
