0,1*15+15,0,17*15+15,266,(72-67)*15+15,0,12*15+15,0,29*15+15,266,(96-67)*15+15,0,24*15+15,266,(83-67)*15+15,266,(84-67)*15+15,133,(42-34)*15+15,266,(75-67)*15+15,133,(50-34)*15+15,133,(53-34)*15+15,266,(71-67)*15+15,0,4*15+15,133,(52-34)*15+15,266,(70-67)*15+15,133,(54-34)*15+15,266,(95-67)*15+15,266,(91-67)*15+15,0,28*15+15,133,(41-34)*15+15,133,(44-34)*15+15,0,23*15+15,266,(93-67)*15+15,133,(60-34)*15+15,266,(69-67)*15+15,0,7*15+15,266,(77-67)*15+15,0,33*15+15,133,(51-34)*15+15,266,(89-67)*15+15,133,(59-34)*15+15,266,(73-67)*15+15,133,(63-34)*15+15,133,(35-34)*15+15,266,(90-67)*15+15,266,(97-67)*15+15,133,(38-34)*15+15,0,31*15+15,133,(55-34)*15+15,133,(46-34)*15+15,133,(57-34)*15+15,133,(61-34)*15+15,0,26*15+15,0,21*15+15,133,(37-34)*15+15,266,(76-67)*15+15,0,16*15+15,133,(49-34)*15+15,266,(81-67)*15+15,133,(58-34)*15+15,0,8*15+15,266,(85-67)*15+15,133,(39-34)*15+15,0,19*15+15,266,(74-67)*15+15,0,32*15+15,0,25*15+15,133,(45-34)*15+15,0,0*15+15,0,14*15+15,0,9*15+15,133,(43-34)*15+15,0,5*15+15,266,(87-67)*15+15,266,(80-67)*15+15,266,(88-67)*15+15,266,(98-67)*15+15,0,6*15+15,0,3*15+15,0,11*15+15,0,22*15+15,0,20*15+15,266,(78-67)*15+15,0,27*15+15,0,10*15+15,133,(62-34)*15+15,133,(40-34)*15+15,266,(67-67)*15+15,266,(94-67)*15+15,133,(36-34)*15+15,133,(64-34)*15+15,266,(68-67)*15+15,133,(47-34)*15+15,266,(92-67)*15+15,266,(99-67)*15+15,266,(82-67)*15+15,133,(48-34)*15+15,0,18*15+15,133,(56-34)*15+15,0,30*15+15,0,13*15+15,0,15*15+15,133,(66-34)*15+15,133,(34-34)*15+15,0,2*15+15,266,(86-67)*15+15,133,(65-34)*15+15,266,(79-67)*15+15,1464432322
0,30,0,270,971,23,0,195,0,450,477,306,0,375,913,44,503,448,133,135,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,842,90,443,590,0,435,133,120,133,165,0,360,458,444,133,405,923,31,0,120,470,428,0,510,133,270,499,483,689,62,414,163,133,450,477,566,445,590,498,541,133,75,0,480,133,330,133,195,133,360,133,420,0,405,0,330,133,60,498,130,0,255,133,240,458,535,133,375,0,135,742,244,133,90,0,300,664,318,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,909,156,861,438,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,133,105,650,425,660,305,662,311,133,465,633,426,133,210,683,314,825,38,926,46,133,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432489
0,30,0,270,971,23,0,195,0,450,477,306,0,375,913,44,503,448,133,135,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,842,90,443,590,0,435,593,120,133,165,0,360,458,444,133,405,923,31,0,120,470,428,0,510,133,270,499,483,689,62,414,163,133,450,477,566,445,590,498,541,419,563,0,480,133,330,133,195,133,360,133,420,0,405,0,330,574,304,498,130,0,255,133,240,458,535,133,375,0,135,742,244,780,77,0,300,664,318,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,909,156,861,438,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,670,288,650,425,660,305,662,311,133,465,633,426,133,210,683,314,825,38,926,46,133,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432504
0,30,0,270,971,23,0,195,0,450,452,404,0,375,913,44,503,448,440,408,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,842,90,443,590,0,435,746,90,620,406,0,360,458,444,133,405,923,31,0,120,470,428,0,510,133,270,499,483,689,62,414,163,133,450,477,566,445,590,498,541,419,563,0,480,133,330,133,195,133,360,133,420,0,405,0,330,574,304,498,130,0,255,133,240,458,535,133,375,0,135,742,244,780,77,0,300,664,318,0,495,0,390,133,180,-11,79,0,225,0,150,133,150,669,182,476,234,909,156,861,438,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,670,288,650,425,660,305,662,311,133,465,633,426,133,210,683,314,825,38,926,46,133,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432519
0,30,0,270,971,23,0,195,0,450,452,404,0,375,913,44,503,448,440,408,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,842,90,443,590,0,435,746,90,776,381,0,360,458,444,133,405,923,31,0,120,470,428,0,510,133,270,499,483,689,62,414,163,133,450,477,566,445,590,498,541,419,563,0,480,133,330,774,240,133,360,133,420,0,405,0,330,574,304,498,130,0,255,133,240,458,535,133,375,0,135,742,244,780,77,0,300,664,318,0,495,0,390,578,586,-11,79,0,225,0,150,133,150,669,182,476,234,909,156,906,170,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,670,288,650,425,660,305,662,311,133,465,633,426,133,210,683,314,825,38,926,46,261,225,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432534
0,30,0,270,971,23,0,195,0,450,452,404,0,375,913,44,503,448,440,408,404,591,133,255,133,300,524,491,0,75,133,285,846,83,133,315,842,90,443,590,0,435,746,90,776,381,0,360,458,444,133,405,923,31,0,120,470,428,0,510,133,270,499,483,689,62,414,163,133,450,477,566,445,590,498,541,419,563,0,480,133,330,774,240,133,360,133,420,0,405,0,330,574,304,498,130,0,255,133,240,458,535,133,375,0,135,742,244,780,77,0,300,664,318,0,495,0,390,578,586,-11,79,0,225,0,150,482,246,669,182,476,234,909,156,906,170,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,670,288,650,425,660,305,662,311,133,465,633,426,653,331,683,314,825,38,926,46,646,76,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432549
0,30,0,270,971,23,0,195,0,450,452,404,0,375,913,44,503,448,440,408,404,591,457,492,472,509,524,491,0,75,527,393,846,83,133,315,842,90,443,590,0,435,746,90,776,381,0,360,458,444,133,405,923,31,0,120,470,428,0,510,416,434,499,483,689,62,414,163,133,450,477,566,445,590,498,541,419,563,0,480,133,330,774,240,133,360,133,420,0,405,0,330,574,304,498,130,0,255,693,160,458,535,133,375,0,135,742,244,780,77,0,300,664,318,0,495,0,390,578,586,-11,79,0,225,0,150,482,246,669,182,476,234,909,156,906,170,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,670,288,650,425,660,305,662,311,133,465,633,426,653,331,683,314,825,38,926,46,646,76,0,285,133,345,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432564
0,30,0,270,971,23,0,195,0,450,452,404,0,375,913,44,503,448,440,408,404,591,457,492,465,509,524,491,0,75,527,393,846,83,556,503,842,90,443,590,0,435,746,90,776,381,0,360,458,444,133,405,923,31,0,120,470,428,0,510,416,434,499,483,689,62,414,163,133,450,477,566,445,590,498,541,419,563,0,480,766,182,774,240,133,360,133,420,0,405,0,330,574,304,498,130,0,255,693,160,458,535,133,375,0,135,742,244,780,77,0,300,664,318,0,495,0,390,578,586,-11,79,0,225,0,150,482,246,669,182,476,234,909,156,906,170,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,670,288,650,425,660,305,662,311,133,465,633,426,653,331,683,314,825,38,926,46,646,76,0,285,568,301,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432579
0,30,0,270,971,23,0,195,0,450,452,404,0,375,913,44,503,448,440,408,404,591,457,492,465,509,524,491,0,75,527,393,846,83,556,503,842,90,443,590,0,435,746,90,776,381,0,360,458,444,133,405,923,31,0,120,470,428,0,510,416,434,499,483,689,62,414,163,133,450,477,566,445,590,498,541,419,563,0,480,769,187,774,240,133,360,133,420,0,405,0,330,574,304,498,130,0,255,693,160,458,535,668,198,0,135,742,244,780,77,0,300,664,318,0,495,0,390,578,586,-11,79,0,225,0,150,482,246,669,182,476,234,909,156,906,170,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,133,435,670,288,650,425,660,305,662,311,133,465,633,426,653,331,683,314,825,38,926,46,646,76,0,285,794,322,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432594
0,30,0,270,971,23,0,195,0,450,452,404,0,375,913,44,503,448,440,408,404,591,457,492,465,509,524,491,0,75,527,393,846,83,556,503,842,90,443,590,0,435,746,90,776,381,0,360,458,444,670,86,923,31,0,120,470,428,0,510,416,434,499,483,689,62,414,163,133,450,477,566,445,590,498,541,419,563,0,480,762,159,774,240,781,164,772,173,0,405,0,330,574,304,498,130,0,255,693,160,458,535,668,198,0,135,742,244,780,77,0,300,664,318,0,495,0,390,578,586,-11,79,0,225,0,150,482,246,669,182,476,234,909,156,906,170,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,576,435,670,288,650,425,660,305,662,311,133,465,633,426,653,331,683,314,825,38,926,46,646,76,0,285,794,322,0,465,0,210,0,240,133,495,605,244,0,45,682,301,133,480,772,258,1464432609
0,30,0,270,971,23,0,195,0,450,452,404,0,375,913,44,503,448,440,408,404,591,457,492,465,509,524,491,0,75,527,393,846,83,556,503,842,90,443,590,0,435,746,90,776,381,0,360,458,444,670,86,923,31,0,120,470,428,594,115,416,434,499,483,689,62,414,163,702,48,477,566,445,590,498,541,419,563,0,480,762,159,774,240,781,164,772,173,0,405,0,330,574,304,498,130,0,255,693,160,458,535,668,198,0,135,742,244,780,77,0,300,664,318,0,495,0,390,578,586,-11,79,0,225,0,150,482,246,669,182,476,234,909,156,906,170,899,142,0,105,0,60,0,180,0,345,0,315,650,178,0,420,0,165,659,345,670,288,650,425,660,305,662,311,670,320,633,426,653,331,683,314,825,38,926,46,646,76,0,285,794,322,0,465,0,210,0,240,418,530,605,244,0,45,682,301,715,152,772,258,1464432624
